Time series of measured orientation data in quaternions:
Time (s)	hand_l_imu	humerus_r_imu	torso_imu	radius_l_imu	calcn_r_imu	head_imu	femur_l_imu	radius_r_imu	calcn_l_imu	tibia_l_imu	hand_r_imu	humerus_l_imu	femur_r_imu	pelvis_imu	tibia_r_imu
10.4293159	~[0.707592,0.165655,-0.682835,-0.074884]	~[-0.159300,-0.682850,0.083067,-0.708123]	~[0.377541,-0.322480,-0.219831,-0.839728]	~[0.633974,-0.060083,-0.720494,-0.274508]	~[0.417286,-0.390294,-0.049586,-0.819197]	~[-0.314576,-0.233312,-0.533179,-0.749885]	~[0.687999,-0.302590,-0.642133,-0.150869]	~[0.020076,-0.643467,0.275865,-0.713755]	~[0.562824,-0.241439,-0.264860,-0.744839]	~[0.626077,-0.234506,-0.736511,-0.102887]	~[-0.406989,-0.511825,0.393974,-0.645895]	~[0.756200,-0.182690,-0.595441,-0.200589]	~[-0.193871,-0.721999,0.021691,-0.663823]	~[0.714355,0.333089,-0.512068,0.341373]	~[-0.198262,-0.685641,0.377986,-0.589674]
10.4585274	~[0.707830,0.165488,-0.682646,-0.074727]	~[-0.159059,-0.682803,0.082890,-0.708244]	~[0.377545,-0.322569,-0.220082,-0.839627]	~[0.633823,-0.060189,-0.720648,-0.274430]	~[0.417248,-0.390345,-0.049636,-0.819190]	~[-0.314548,-0.233196,-0.533268,-0.749870]	~[0.688017,-0.302604,-0.642121,-0.150813]	~[0.020140,-0.643425,0.275884,-0.713784]	~[0.562839,-0.241455,-0.264850,-0.744826]	~[0.626140,-0.234472,-0.736480,-0.102808]	~[-0.406681,-0.512124,0.394186,-0.645723]	~[0.756124,-0.182648,-0.595557,-0.200571]	~[-0.193869,-0.722019,0.021615,-0.663804]	~[0.714348,0.333192,-0.512015,0.341365]	~[-0.198292,-0.685675,0.377960,-0.589640]
10.4790607	~[0.707983,0.165554,-0.682471,-0.074731]	~[-0.158851,-0.682778,0.082627,-0.708346]	~[0.377539,-0.322629,-0.220179,-0.839581]	~[0.633665,-0.060193,-0.720803,-0.274388]	~[0.417208,-0.390420,-0.049690,-0.819171]	~[-0.314584,-0.233125,-0.533312,-0.749845]	~[0.688017,-0.302621,-0.642117,-0.150793]	~[0.020358,-0.643567,0.275767,-0.713694]	~[0.562839,-0.241483,-0.264826,-0.744826]	~[0.626197,-0.234463,-0.736441,-0.102754]	~[-0.406081,-0.513001,0.394133,-0.645436]	~[0.755990,-0.182583,-0.595771,-0.200498]	~[-0.193809,-0.722073,0.021483,-0.663768]	~[0.714452,0.333197,-0.511863,0.341371]	~[-0.198326,-0.685671,0.377938,-0.589648]
10.5082891	~[0.707964,0.165429,-0.682487,-0.075051]	~[-0.158796,-0.682765,0.082462,-0.708389]	~[0.377395,-0.322923,-0.220134,-0.839545]	~[0.633555,-0.060394,-0.720782,-0.274651]	~[0.417172,-0.390444,-0.049744,-0.819174]	~[-0.314722,-0.233033,-0.533288,-0.749833]	~[0.688077,-0.302617,-0.642050,-0.150816]	~[0.020787,-0.643773,0.275597,-0.713562]	~[0.562881,-0.241563,-0.264774,-0.744786]	~[0.626262,-0.234427,-0.736401,-0.102726]	~[-0.405409,-0.513768,0.393968,-0.645349]	~[0.755959,-0.182613,-0.595778,-0.200569]	~[-0.193869,-0.722048,0.021428,-0.663779]	~[0.714568,0.333256,-0.511622,0.341433]	~[-0.198366,-0.685684,0.377909,-0.589639]
10.5290124	~[0.707826,0.165362,-0.682616,-0.075322]	~[-0.158720,-0.682725,0.082267,-0.708468]	~[0.377408,-0.323118,-0.220238,-0.839436]	~[0.633498,-0.060690,-0.720711,-0.274904]	~[0.417077,-0.390495,-0.049905,-0.819188]	~[-0.314756,-0.233031,-0.533077,-0.749969]	~[0.688050,-0.302646,-0.642068,-0.150804]	~[0.021010,-0.643953,0.275556,-0.713409]	~[0.562871,-0.241581,-0.264791,-0.744782]	~[0.626380,-0.234331,-0.736341,-0.102663]	~[-0.405169,-0.514140,0.393810,-0.645299]	~[0.755918,-0.182901,-0.595659,-0.200811]	~[-0.193969,-0.722037,0.021441,-0.663761]	~[0.714643,0.333336,-0.511423,0.341495]	~[-0.198518,-0.685571,0.378045,-0.589631]
10.5582273	~[0.707733,0.165288,-0.682720,-0.075413]	~[-0.158557,-0.682705,0.082067,-0.708547]	~[0.377486,-0.323193,-0.220686,-0.839255]	~[0.633458,-0.060855,-0.720702,-0.274984]	~[0.417013,-0.390563,-0.050029,-0.819181]	~[-0.314613,-0.233118,-0.532882,-0.750141]	~[0.688112,-0.302594,-0.642047,-0.150712]	~[0.021183,-0.644062,0.275389,-0.713369]	~[0.562885,-0.241665,-0.264758,-0.744756]	~[0.626419,-0.234245,-0.736342,-0.102610]	~[-0.404991,-0.514250,0.393689,-0.645397]	~[0.755870,-0.183235,-0.595561,-0.200978]	~[-0.193928,-0.722085,0.021436,-0.663721]	~[0.714622,0.333370,-0.511447,0.341469]	~[-0.198553,-0.685582,0.378098,-0.589573]
10.5790371	~[0.707883,0.165289,-0.682577,-0.075296]	~[-0.158331,-0.682697,0.081885,-0.708627]	~[0.377418,-0.323154,-0.221153,-0.839177]	~[0.633483,-0.060827,-0.720718,-0.274891]	~[0.416958,-0.390632,-0.050078,-0.819173]	~[-0.314331,-0.233190,-0.532858,-0.750254]	~[0.688223,-0.302462,-0.642039,-0.150505]	~[0.021367,-0.644128,0.275143,-0.713399]	~[0.562913,-0.241623,-0.264733,-0.744758]	~[0.626442,-0.234173,-0.736349,-0.102587]	~[-0.404656,-0.514310,0.393702,-0.645552]	~[0.755842,-0.183433,-0.595504,-0.201072]	~[-0.193821,-0.722084,0.021307,-0.663758]	~[0.714586,0.333414,-0.511433,0.341524]	~[-0.198555,-0.685641,0.378141,-0.589475]
10.6081993	~[0.708320,0.165394,-0.682101,-0.075271]	~[-0.158119,-0.682696,0.081703,-0.708696]	~[0.377326,-0.323142,-0.221453,-0.839144]	~[0.633661,-0.060978,-0.720600,-0.274756]	~[0.416968,-0.390578,-0.050093,-0.819193]	~[-0.314143,-0.233316,-0.532915,-0.750253]	~[0.688329,-0.302306,-0.642035,-0.150349]	~[0.021411,-0.644154,0.275146,-0.713373]	~[0.562914,-0.241640,-0.264677,-0.744771]	~[0.626455,-0.234092,-0.736360,-0.102613]	~[-0.404484,-0.514316,0.393872,-0.645552]	~[0.755804,-0.183615,-0.595470,-0.201151]	~[-0.193730,-0.722158,0.021210,-0.663706]	~[0.714546,0.333503,-0.511384,0.341592]	~[-0.198526,-0.685630,0.378193,-0.589465]
10.6290217	~[0.708780,0.165313,-0.681628,-0.075401]	~[-0.157953,-0.682618,0.081606,-0.708819]	~[0.377224,-0.323244,-0.221503,-0.839138]	~[0.633837,-0.061207,-0.720388,-0.274855]	~[0.416949,-0.390530,-0.050110,-0.819224]	~[-0.314144,-0.233388,-0.532979,-0.750185]	~[0.688367,-0.302155,-0.642108,-0.150168]	~[0.021571,-0.644281,0.274996,-0.713312]	~[0.562926,-0.241548,-0.264656,-0.744799]	~[0.626433,-0.234039,-0.736396,-0.102605]	~[-0.404394,-0.514544,0.393558,-0.645618]	~[0.755779,-0.183820,-0.595376,-0.201335]	~[-0.193533,-0.722169,0.021063,-0.663756]	~[0.714524,0.333633,-0.511253,0.341709]	~[-0.198473,-0.685622,0.378164,-0.589511]
10.6582128	~[0.708942,0.165237,-0.681495,-0.075254]	~[-0.157792,-0.682524,0.081510,-0.708956]	~[0.377126,-0.323397,-0.221602,-0.839097]	~[0.633978,-0.061303,-0.720296,-0.274749]	~[0.417006,-0.390419,-0.050073,-0.819251]	~[-0.314206,-0.233379,-0.533024,-0.750129]	~[0.688430,-0.302084,-0.642103,-0.150042]	~[0.021688,-0.644463,0.274820,-0.713211]	~[0.562902,-0.241529,-0.264638,-0.744830]	~[0.626427,-0.233957,-0.736428,-0.102599]	~[-0.404343,-0.514696,0.393209,-0.645741]	~[0.755698,-0.183920,-0.595443,-0.201351]	~[-0.193397,-0.722235,0.020874,-0.663731]	~[0.714524,0.333710,-0.511153,0.341784]	~[-0.198469,-0.685565,0.378195,-0.589558]
