Time series of measured orientation data in quaternions:
Time (s)	hand_l_imu	humerus_r_imu	torso_imu	radius_l_imu	calcn_r_imu	head_imu	femur_l_imu	radius_r_imu	calcn_l_imu	tibia_l_imu	hand_r_imu	humerus_l_imu	femur_r_imu	pelvis_imu	tibia_r_imu
15.4897164	~[0.709732,0.168195,-0.680071,-0.074129]	~[-0.147516,-0.680459,0.081742,-0.713114]	~[0.368861,-0.320553,-0.211890,-0.846339]	~[0.633314,-0.062629,-0.721482,-0.272864]	~[0.419114,-0.389115,-0.047688,-0.818938]	~[-0.325682,-0.230893,-0.516915,-0.757244]	~[0.686023,-0.299110,-0.644795,-0.155387]	~[-0.001036,-0.633667,0.302441,-0.712036]	~[0.559863,-0.239931,-0.264582,-0.747651]	~[0.623205,-0.235272,-0.737348,-0.112159]	~[-0.407232,-0.510973,0.407630,-0.637892]	~[0.751378,-0.184993,-0.599145,-0.205508]	~[-0.192079,-0.721905,0.030493,-0.664101]	~[0.710642,0.335784,-0.517722,0.337937]	~[-0.187327,-0.686703,0.378825,-0.591471]
15.4935812	~[0.709951,0.168667,-0.679754,-0.073861]	~[-0.147425,-0.680368,0.081755,-0.713219]	~[0.368862,-0.320555,-0.211790,-0.846363]	~[0.633485,-0.062092,-0.721494,-0.272558]	~[0.419130,-0.389155,-0.047670,-0.818912]	~[-0.325525,-0.230765,-0.517183,-0.757168]	~[0.686020,-0.299201,-0.644725,-0.155515]	~[-0.002119,-0.633141,0.303295,-0.712138]	~[0.559895,-0.239914,-0.264543,-0.747647]	~[0.623177,-0.235291,-0.737359,-0.112206]	~[-0.407316,-0.510815,0.407712,-0.637913]	~[0.751410,-0.184825,-0.599196,-0.205395]	~[-0.192127,-0.721909,0.030419,-0.664085]	~[0.710670,0.335784,-0.517699,0.337913]	~[-0.187368,-0.686668,0.378851,-0.591483]
15.49797	~[0.710103,0.169023,-0.679528,-0.073666]	~[-0.147434,-0.680341,0.081754,-0.713243]	~[0.368873,-0.320498,-0.211639,-0.846418]	~[0.633682,-0.061774,-0.721410,-0.272395]	~[0.419160,-0.389226,-0.047630,-0.818865]	~[-0.325408,-0.230641,-0.517348,-0.757143]	~[0.686039,-0.299216,-0.644702,-0.155500]	~[-0.003063,-0.632674,0.304117,-0.712198]	~[0.559889,-0.239876,-0.264535,-0.747667]	~[0.623226,-0.235222,-0.737349,-0.112148]	~[-0.407353,-0.510748,0.407786,-0.637895]	~[0.751450,-0.184564,-0.599255,-0.205311]	~[-0.192123,-0.721893,0.030363,-0.664107]	~[0.710710,0.335814,-0.517640,0.337889]	~[-0.187390,-0.686684,0.378892,-0.591431]
15.503775	~[0.710116,0.169000,-0.679505,-0.073807]	~[-0.147360,-0.680243,0.081691,-0.713359]	~[0.368858,-0.320416,-0.211524,-0.846484]	~[0.633783,-0.061831,-0.721261,-0.272540]	~[0.419144,-0.389216,-0.047659,-0.818876]	~[-0.325306,-0.230586,-0.517446,-0.757137]	~[0.686036,-0.299265,-0.644688,-0.155477]	~[-0.003938,-0.632215,0.304945,-0.712248]	~[0.559904,-0.239885,-0.264505,-0.747663]	~[0.623269,-0.235063,-0.737387,-0.111990]	~[-0.407257,-0.510682,0.407801,-0.638000]	~[0.751536,-0.184413,-0.599211,-0.205262]	~[-0.192095,-0.721944,0.030297,-0.664062]	~[0.710698,0.335865,-0.517628,0.337882]	~[-0.187531,-0.686670,0.379020,-0.591321]
15.5097188	~[0.710069,0.168800,-0.679589,-0.073942]	~[-0.147254,-0.680288,0.081600,-0.713348]	~[0.368857,-0.320408,-0.211481,-0.846498]	~[0.633796,-0.061885,-0.721176,-0.272722]	~[0.419090,-0.389258,-0.047720,-0.818880]	~[-0.325223,-0.230578,-0.517472,-0.757157]	~[0.686023,-0.299289,-0.644693,-0.155468]	~[-0.004899,-0.631697,0.305839,-0.712318]	~[0.559874,-0.239880,-0.264510,-0.747685]	~[0.623250,-0.234987,-0.737459,-0.111780]	~[-0.407083,-0.510580,0.407911,-0.638123]	~[0.751627,-0.184386,-0.599100,-0.205275]	~[-0.192270,-0.721981,0.030368,-0.663968]	~[0.710637,0.335934,-0.517666,0.337882]	~[-0.187710,-0.686618,0.379180,-0.591222]
15.5136519	~[0.710179,0.169193,-0.679402,-0.073697]	~[-0.147218,-0.680224,0.081458,-0.713433]	~[0.368894,-0.320498,-0.211499,-0.846443]	~[0.633883,-0.061497,-0.721211,-0.272516]	~[0.419059,-0.389231,-0.047797,-0.818905]	~[-0.325066,-0.230478,-0.517571,-0.757187]	~[0.685981,-0.299288,-0.644738,-0.155467]	~[-0.005839,-0.631300,0.306902,-0.712206]	~[0.559859,-0.239841,-0.264512,-0.747709]	~[0.623194,-0.234859,-0.737582,-0.111544]	~[-0.407161,-0.510566,0.408304,-0.637832]	~[0.751646,-0.184327,-0.599095,-0.205272]	~[-0.192313,-0.722013,0.030374,-0.663921]	~[0.710601,0.335967,-0.517681,0.337904]	~[-0.187867,-0.686555,0.379279,-0.591181]
15.5174769	~[0.710531,0.169451,-0.678975,-0.073651]	~[-0.147078,-0.680240,0.081328,-0.713462]	~[0.368926,-0.320565,-0.211571,-0.846386]	~[0.634012,-0.061396,-0.721115,-0.272494]	~[0.419023,-0.389272,-0.047831,-0.818901]	~[-0.324895,-0.230358,-0.517546,-0.757314]	~[0.686064,-0.299171,-0.644747,-0.155288]	~[-0.006839,-0.630903,0.307988,-0.712080]	~[0.559830,-0.239842,-0.264498,-0.747735]	~[0.623193,-0.234734,-0.737674,-0.111210]	~[-0.407178,-0.510645,0.408456,-0.637661]	~[0.751641,-0.184297,-0.599090,-0.205333]	~[-0.192307,-0.722009,0.030294,-0.663931]	~[0.710577,0.335982,-0.517688,0.337928]	~[-0.188048,-0.686515,0.379327,-0.591140]
15.5212631	~[0.710515,0.169621,-0.678946,-0.073684]	~[-0.146844,-0.680268,0.081188,-0.713500]	~[0.368942,-0.320557,-0.211576,-0.846381]	~[0.634030,-0.061407,-0.721084,-0.272530]	~[0.419003,-0.389329,-0.047844,-0.818884]	~[-0.324684,-0.230167,-0.517542,-0.757465]	~[0.686122,-0.299076,-0.644785,-0.155056]	~[-0.007271,-0.630652,0.308500,-0.712077]	~[0.559805,-0.239869,-0.264476,-0.747752]	~[0.623218,-0.234630,-0.737721,-0.110971]	~[-0.407083,-0.510652,0.408415,-0.637743]	~[0.751661,-0.184198,-0.599076,-0.205390]	~[-0.192237,-0.722017,0.030249,-0.663944]	~[0.710560,0.335985,-0.517720,0.337910]	~[-0.188270,-0.686491,0.379361,-0.591075]
15.5250764	~[0.710400,0.169646,-0.679062,-0.073667]	~[-0.146700,-0.680231,0.081088,-0.713576]	~[0.368971,-0.320546,-0.211446,-0.846405]	~[0.633940,-0.061329,-0.721162,-0.272553]	~[0.418949,-0.389344,-0.047929,-0.818899]	~[-0.324431,-0.229838,-0.517617,-0.757622]	~[0.686169,-0.299142,-0.644721,-0.154985]	~[-0.007525,-0.630403,0.308795,-0.712166]	~[0.559793,-0.239872,-0.264452,-0.747769]	~[0.623285,-0.234443,-0.737758,-0.110747]	~[-0.406854,-0.510571,0.408315,-0.638018]	~[0.751657,-0.184189,-0.599086,-0.205380]	~[-0.192244,-0.722068,0.030202,-0.663888]	~[0.710539,0.336056,-0.517729,0.337872]	~[-0.188506,-0.686469,0.379423,-0.590985]
15.5290671	~[0.710338,0.169732,-0.679115,-0.073582]	~[-0.146605,-0.680204,0.081080,-0.713622]	~[0.368960,-0.320503,-0.211320,-0.846458]	~[0.633817,-0.061223,-0.721300,-0.272496]	~[0.418935,-0.389360,-0.047974,-0.818896]	~[-0.324143,-0.229591,-0.517857,-0.757656]	~[0.686153,-0.299216,-0.644698,-0.155012]	~[-0.007739,-0.630193,0.309076,-0.712228]	~[0.559767,-0.239843,-0.264454,-0.747797]	~[0.623326,-0.234245,-0.737829,-0.110466]	~[-0.406622,-0.510614,0.408357,-0.638104]	~[0.751566,-0.184252,-0.599141,-0.205501]	~[-0.192343,-0.722109,0.030139,-0.663818]	~[0.710449,0.336144,-0.517787,0.337885]	~[-0.188732,-0.686359,0.379646,-0.590898]
15.5328868	~[0.710175,0.169509,-0.679316,-0.073811]	~[-0.146560,-0.680211,0.081142,-0.713617]	~[0.368893,-0.320495,-0.211273,-0.846501]	~[0.633716,-0.061397,-0.721306,-0.272676]	~[0.418937,-0.389382,-0.048003,-0.818883]	~[-0.323864,-0.229447,-0.518184,-0.757596]	~[0.686140,-0.299228,-0.644713,-0.154981]	~[-0.008404,-0.629961,0.309777,-0.712121]	~[0.559760,-0.239832,-0.264447,-0.747808]	~[0.623359,-0.234031,-0.737927,-0.110079]	~[-0.406837,-0.510595,0.408575,-0.637842]	~[0.751535,-0.184210,-0.599141,-0.205648]	~[-0.192595,-0.722063,0.030157,-0.663795]	~[0.710403,0.336248,-0.517807,0.337847]	~[-0.189103,-0.686204,0.379933,-0.590775]
15.5366962	~[0.710155,0.169400,-0.679349,-0.073941]	~[-0.146342,-0.680263,0.080987,-0.713630]	~[0.368922,-0.320389,-0.211385,-0.846501]	~[0.633658,-0.061509,-0.721268,-0.272885]	~[0.418965,-0.389376,-0.047991,-0.818872]	~[-0.323657,-0.229307,-0.518364,-0.757604]	~[0.686142,-0.299332,-0.644653,-0.155020]	~[-0.009417,-0.629617,0.310812,-0.711962]	~[0.559693,-0.239916,-0.264445,-0.747832]	~[0.623407,-0.233849,-0.738004,-0.109673]	~[-0.407004,-0.510501,0.408821,-0.637654]	~[0.751537,-0.184082,-0.599187,-0.205625]	~[-0.192726,-0.722120,0.030140,-0.663694]	~[0.710351,0.336331,-0.517830,0.337839]	~[-0.189337,-0.686117,0.380092,-0.590698]
15.5408462	~[0.710163,0.169688,-0.679271,-0.073929]	~[-0.146243,-0.680226,0.081011,-0.713682]	~[0.369047,-0.320181,-0.211492,-0.846499]	~[0.633684,-0.061256,-0.721271,-0.272876]	~[0.418975,-0.389322,-0.048024,-0.818891]	~[-0.323503,-0.229095,-0.518560,-0.757599]	~[0.686139,-0.299332,-0.644681,-0.154923]	~[-0.009513,-0.629519,0.311010,-0.711961]	~[0.559683,-0.239899,-0.264432,-0.747849]	~[0.623415,-0.233681,-0.738117,-0.109228]	~[-0.406829,-0.510620,0.408794,-0.637686]	~[0.751502,-0.184021,-0.599225,-0.205695]	~[-0.192701,-0.722118,0.030041,-0.663709]	~[0.710311,0.336400,-0.517846,0.337829]	~[-0.189557,-0.686071,0.380188,-0.590620]
15.5447425	~[0.710161,0.170180,-0.679155,-0.073877]	~[-0.146179,-0.680215,0.080988,-0.713709]	~[0.369083,-0.320331,-0.211433,-0.846441]	~[0.633693,-0.060843,-0.721357,-0.272720]	~[0.418967,-0.389345,-0.048056,-0.818882]	~[-0.323442,-0.228763,-0.518649,-0.757665]	~[0.686225,-0.299246,-0.644686,-0.154685]	~[-0.009716,-0.629342,0.311387,-0.711950]	~[0.559686,-0.239862,-0.264448,-0.747853]	~[0.623415,-0.233521,-0.738223,-0.108845]	~[-0.406462,-0.510750,0.408792,-0.637819]	~[0.751565,-0.183746,-0.599241,-0.205664]	~[-0.192757,-0.722160,0.029940,-0.663651]	~[0.710282,0.336420,-0.517844,0.337875]	~[-0.189805,-0.686060,0.380309,-0.590475]
15.5486564	~[0.710188,0.170296,-0.679084,-0.074014]	~[-0.146246,-0.680186,0.080910,-0.713732]	~[0.369029,-0.320408,-0.211292,-0.846470]	~[0.633705,-0.060787,-0.721304,-0.272844]	~[0.418921,-0.389422,-0.048101,-0.818867]	~[-0.323363,-0.228404,-0.518582,-0.757852]	~[0.686245,-0.299323,-0.644632,-0.154671]	~[-0.010065,-0.629140,0.311904,-0.711898]	~[0.559659,-0.239921,-0.264421,-0.747864]	~[0.623423,-0.233384,-0.738321,-0.108434]	~[-0.406272,-0.510865,0.408767,-0.637863]	~[0.751624,-0.183558,-0.599204,-0.205722]	~[-0.192688,-0.722176,0.029744,-0.663662]	~[0.710272,0.336474,-0.517829,0.337863]	~[-0.189952,-0.686056,0.380391,-0.590380]
15.5525271	~[0.710165,0.170384,-0.679075,-0.074113]	~[-0.146137,-0.680217,0.080604,-0.713759]	~[0.369068,-0.320459,-0.211414,-0.846404]	~[0.633627,-0.060823,-0.721308,-0.273005]	~[0.418861,-0.389449,-0.048182,-0.818879]	~[-0.323219,-0.228072,-0.518529,-0.758051]	~[0.686178,-0.299475,-0.644617,-0.154737]	~[-0.010765,-0.628890,0.312601,-0.711802]	~[0.559625,-0.239992,-0.264411,-0.747870]	~[0.623463,-0.233203,-0.738410,-0.107989]	~[-0.406319,-0.510874,0.408985,-0.637686]	~[0.751608,-0.183742,-0.599117,-0.205873]	~[-0.192695,-0.722207,0.029657,-0.663632]	~[0.710291,0.336490,-0.517825,0.337814]	~[-0.190192,-0.685987,0.380512,-0.590305]
15.5563901	~[0.710136,0.170468,-0.679065,-0.074281]	~[-0.145964,-0.680223,0.080372,-0.713815]	~[0.369039,-0.320396,-0.211715,-0.846365]	~[0.633553,-0.060817,-0.721341,-0.273092]	~[0.418851,-0.389437,-0.048229,-0.818887]	~[-0.323093,-0.227962,-0.518553,-0.758121]	~[0.686170,-0.299540,-0.644587,-0.154774]	~[-0.011258,-0.628759,0.312976,-0.711746]	~[0.559612,-0.240002,-0.264401,-0.747881]	~[0.623487,-0.232981,-0.738521,-0.107563]	~[-0.406434,-0.510864,0.408966,-0.637633]	~[0.751561,-0.183948,-0.599060,-0.206025]	~[-0.192947,-0.722186,0.029746,-0.663576]	~[0.710263,0.336467,-0.517918,0.337754]	~[-0.190477,-0.685860,0.380691,-0.590244]
15.5606448	~[0.710138,0.170601,-0.679025,-0.074322]	~[-0.145811,-0.680211,0.080143,-0.713884]	~[0.369024,-0.320289,-0.211972,-0.846347]	~[0.633630,-0.060742,-0.721280,-0.273092]	~[0.418856,-0.389441,-0.048247,-0.818882]	~[-0.323084,-0.227929,-0.518657,-0.758063]	~[0.686175,-0.299630,-0.644528,-0.154817]	~[-0.011452,-0.628681,0.312933,-0.711830]	~[0.559615,-0.240017,-0.264364,-0.747887]	~[0.623502,-0.232725,-0.738655,-0.107113]	~[-0.406286,-0.510942,0.408547,-0.637934]	~[0.751575,-0.183950,-0.599056,-0.205986]	~[-0.193022,-0.722198,0.029738,-0.663542]	~[0.710180,0.336587,-0.517934,0.337783]	~[-0.190769,-0.685841,0.380813,-0.590094]
15.5645046	~[0.710308,0.170740,-0.678842,-0.074051]	~[-0.145846,-0.680142,0.080219,-0.713933]	~[0.369014,-0.320177,-0.211998,-0.846388]	~[0.633785,-0.060509,-0.721208,-0.272973]	~[0.418798,-0.389492,-0.048293,-0.818885]	~[-0.323265,-0.227920,-0.518798,-0.757892]	~[0.686205,-0.299681,-0.644475,-0.154811]	~[-0.011902,-0.628407,0.313291,-0.711907]	~[0.559588,-0.240012,-0.264378,-0.747904]	~[0.623511,-0.232530,-0.738779,-0.106627]	~[-0.406188,-0.510957,0.408486,-0.638023]	~[0.751625,-0.183838,-0.599028,-0.205983]	~[-0.193229,-0.722195,0.029819,-0.663481]	~[0.710096,0.336735,-0.517943,0.337799]	~[-0.191030,-0.685777,0.381066,-0.589920]
15.5684612	~[0.710367,0.171018,-0.678755,-0.073644]	~[-0.145770,-0.680042,0.080244,-0.714042]	~[0.369065,-0.320206,-0.211952,-0.846366]	~[0.633862,-0.060199,-0.721292,-0.272640]	~[0.418812,-0.389501,-0.048307,-0.818872]	~[-0.323449,-0.227868,-0.518938,-0.757734]	~[0.686203,-0.299699,-0.644475,-0.154783]	~[-0.012072,-0.628162,0.313767,-0.711911]	~[0.559611,-0.239989,-0.264287,-0.747926]	~[0.623534,-0.232305,-0.738898,-0.106156]	~[-0.406204,-0.510754,0.408855,-0.637939]	~[0.751634,-0.183636,-0.599116,-0.205877]	~[-0.193403,-0.722170,0.029783,-0.663460]	~[0.710005,0.336815,-0.518002,0.337820]	~[-0.191254,-0.685759,0.381215,-0.589772]
15.5723222	~[0.710245,0.170957,-0.678911,-0.073517]	~[-0.145706,-0.679910,0.080215,-0.714183]	~[0.368991,-0.320215,-0.212009,-0.846381]	~[0.633853,-0.060203,-0.721362,-0.272475]	~[0.418780,-0.389520,-0.048341,-0.818878]	~[-0.323548,-0.227790,-0.519104,-0.757601]	~[0.686214,-0.299708,-0.644465,-0.154761]	~[-0.012004,-0.628031,0.313982,-0.711933]	~[0.559593,-0.240025,-0.264285,-0.747929]	~[0.623549,-0.232131,-0.739000,-0.105737]	~[-0.406110,-0.510471,0.409012,-0.638125]	~[0.751673,-0.183469,-0.599178,-0.205703]	~[-0.193493,-0.722206,0.029690,-0.663398]	~[0.709993,0.336840,-0.518070,0.337715]	~[-0.191445,-0.685690,0.381412,-0.589664]
15.5763677	~[0.710182,0.170644,-0.679048,-0.073593]	~[-0.145672,-0.679855,0.080124,-0.714253]	~[0.368861,-0.320096,-0.212135,-0.846451]	~[0.633781,-0.060482,-0.721375,-0.272549]	~[0.418799,-0.389581,-0.048320,-0.818840]	~[-0.323551,-0.227609,-0.519402,-0.757450]	~[0.686236,-0.299647,-0.644465,-0.154777]	~[-0.011594,-0.628052,0.313761,-0.712019]	~[0.559571,-0.240093,-0.264253,-0.747935]	~[0.623604,-0.231932,-0.739068,-0.105375]	~[-0.405732,-0.510544,0.408875,-0.638395]	~[0.751580,-0.183629,-0.599253,-0.205680]	~[-0.193525,-0.722244,0.029609,-0.663351]	~[0.709924,0.336865,-0.518180,0.337667]	~[-0.191632,-0.685587,0.381645,-0.589571]
15.5802497	~[0.710223,0.170537,-0.679031,-0.073595]	~[-0.145547,-0.679832,0.080048,-0.714309]	~[0.368794,-0.320063,-0.212061,-0.846511]	~[0.633782,-0.060563,-0.721361,-0.272563]	~[0.418776,-0.389612,-0.048342,-0.818836]	~[-0.323544,-0.227390,-0.519845,-0.757214]	~[0.686273,-0.299595,-0.644461,-0.154734]	~[-0.011550,-0.627939,0.313925,-0.712047]	~[0.559577,-0.240070,-0.264219,-0.747949]	~[0.623626,-0.231760,-0.739134,-0.105160]	~[-0.405544,-0.510630,0.408996,-0.638368]	~[0.751483,-0.183918,-0.599257,-0.205765]	~[-0.193737,-0.722151,0.029644,-0.663389]	~[0.709948,0.336921,-0.518150,0.337608]	~[-0.191760,-0.685475,0.381843,-0.589532]
15.5841658	~[0.710440,0.170547,-0.678813,-0.073503]	~[-0.145413,-0.679687,0.079848,-0.714496]	~[0.368756,-0.320014,-0.212033,-0.846553]	~[0.633890,-0.060595,-0.721297,-0.272474]	~[0.418787,-0.389586,-0.048328,-0.818843]	~[-0.323553,-0.227270,-0.520181,-0.757016]	~[0.686286,-0.299618,-0.644444,-0.154703]	~[-0.011727,-0.627771,0.314275,-0.712037]	~[0.559602,-0.240056,-0.264192,-0.747945]	~[0.623637,-0.231758,-0.739136,-0.105088]	~[-0.405601,-0.510485,0.409191,-0.638323]	~[0.751462,-0.183905,-0.599304,-0.205712]	~[-0.193765,-0.722114,0.029616,-0.663423]	~[0.709857,0.337007,-0.518183,0.337662]	~[-0.191829,-0.685496,0.381842,-0.589486]
15.5880869	~[0.710511,0.170635,-0.678739,-0.073288]	~[-0.145268,-0.679612,0.079724,-0.714611]	~[0.368680,-0.319931,-0.212025,-0.846620]	~[0.634001,-0.060487,-0.721311,-0.272203]	~[0.418831,-0.389588,-0.048266,-0.818823]	~[-0.323514,-0.227152,-0.520289,-0.756994]	~[0.686302,-0.299665,-0.644388,-0.154776]	~[-0.011645,-0.627746,0.314140,-0.712120]	~[0.559585,-0.240075,-0.264190,-0.747952]	~[0.623676,-0.231797,-0.739084,-0.105128]	~[-0.405630,-0.510383,0.409216,-0.638370]	~[0.751416,-0.183786,-0.599399,-0.205710]	~[-0.193660,-0.722155,0.029554,-0.663411]	~[0.709876,0.337004,-0.518174,0.337638]	~[-0.191745,-0.685552,0.381776,-0.589491]
15.592277	~[0.710565,0.170498,-0.678725,-0.073218]	~[-0.145178,-0.679593,0.079590,-0.714662]	~[0.368605,-0.319915,-0.212151,-0.846626]	~[0.634001,-0.060566,-0.721347,-0.272091]	~[0.418820,-0.389600,-0.048247,-0.818824]	~[-0.323397,-0.226973,-0.520314,-0.757080]	~[0.686321,-0.299621,-0.644392,-0.154756]	~[-0.011895,-0.627564,0.314307,-0.712203]	~[0.559580,-0.240078,-0.264178,-0.747959]	~[0.623666,-0.231759,-0.739097,-0.105186]	~[-0.405652,-0.510221,0.409242,-0.638468]	~[0.751374,-0.183771,-0.599451,-0.205727]	~[-0.193567,-0.722202,0.029411,-0.663394]	~[0.709902,0.336996,-0.518171,0.337597]	~[-0.191625,-0.685625,0.381752,-0.589460]
15.596161	~[0.710584,0.170290,-0.678739,-0.073379]	~[-0.145034,-0.679596,0.079317,-0.714719]	~[0.368558,-0.319844,-0.212270,-0.846644]	~[0.633943,-0.060847,-0.721340,-0.272183]	~[0.418820,-0.389586,-0.048222,-0.818833]	~[-0.323287,-0.226826,-0.520333,-0.757158]	~[0.686327,-0.299639,-0.644384,-0.154727]	~[-0.012299,-0.627272,0.314770,-0.712249]	~[0.559548,-0.240097,-0.264195,-0.747971]	~[0.623671,-0.231711,-0.739109,-0.105175]	~[-0.405507,-0.510227,0.409205,-0.638580]	~[0.751329,-0.183864,-0.599481,-0.205722]	~[-0.193664,-0.722193,0.029460,-0.663373]	~[0.709961,0.336984,-0.518071,0.337639]	~[-0.191532,-0.685658,0.381676,-0.589502]
15.6000554	~[0.710472,0.170263,-0.678873,-0.073290]	~[-0.144912,-0.679541,0.079183,-0.714811]	~[0.368491,-0.319802,-0.212310,-0.846679]	~[0.633985,-0.060807,-0.721300,-0.272199]	~[0.418818,-0.389603,-0.048212,-0.818826]	~[-0.323332,-0.226775,-0.520318,-0.757164]	~[0.686303,-0.299668,-0.644370,-0.154833]	~[-0.012517,-0.627091,0.315015,-0.712296]	~[0.559549,-0.240107,-0.264207,-0.747963]	~[0.623655,-0.231780,-0.739097,-0.105209]	~[-0.405319,-0.510222,0.409128,-0.638752]	~[0.751285,-0.184057,-0.599431,-0.205856]	~[-0.193743,-0.722184,0.029548,-0.663356]	~[0.710012,0.336972,-0.517976,0.337689]	~[-0.191379,-0.685712,0.381647,-0.589507]
15.6039447	~[0.710520,0.170687,-0.678749,-0.072992]	~[-0.144927,-0.679511,0.079108,-0.714844]	~[0.368510,-0.319838,-0.212338,-0.846651]	~[0.634128,-0.060438,-0.721297,-0.271957]	~[0.418827,-0.389562,-0.048216,-0.818841]	~[-0.323475,-0.226748,-0.520214,-0.757183]	~[0.686238,-0.299687,-0.644421,-0.154874]	~[-0.012309,-0.627126,0.314919,-0.712312]	~[0.559505,-0.240110,-0.264253,-0.747979]	~[0.623617,-0.231942,-0.739045,-0.105441]	~[-0.405187,-0.510269,0.409172,-0.638770]	~[0.751306,-0.184114,-0.599382,-0.205872]	~[-0.193678,-0.722198,0.029465,-0.663363]	~[0.709930,0.337038,-0.517972,0.337800]	~[-0.191301,-0.685721,0.381666,-0.589509]
15.6080386	~[0.710614,0.170881,-0.678613,-0.072888]	~[-0.144790,-0.679568,0.078998,-0.714831]	~[0.368499,-0.319884,-0.212276,-0.846653]	~[0.634190,-0.060227,-0.721307,-0.271831]	~[0.418825,-0.389600,-0.048187,-0.818826]	~[-0.323611,-0.226827,-0.520098,-0.757181]	~[0.686321,-0.299570,-0.644419,-0.154743]	~[-0.012510,-0.626945,0.315175,-0.712354]	~[0.559492,-0.240146,-0.264260,-0.747974]	~[0.623611,-0.232020,-0.738996,-0.105642]	~[-0.405170,-0.509990,0.409243,-0.638958]	~[0.751357,-0.183990,-0.599375,-0.205818]	~[-0.193739,-0.722170,0.029503,-0.663374]	~[0.709943,0.337035,-0.517980,0.337765]	~[-0.191189,-0.685757,0.381628,-0.589529]
15.6119059	~[0.710668,0.170587,-0.678615,-0.073025]	~[-0.144744,-0.679506,0.078883,-0.714911]	~[0.368476,-0.319912,-0.212260,-0.846656]	~[0.634152,-0.060552,-0.721244,-0.272014]	~[0.418876,-0.389594,-0.048104,-0.818807]	~[-0.323560,-0.226759,-0.520021,-0.757276]	~[0.686360,-0.299486,-0.644440,-0.154646]	~[-0.012814,-0.626746,0.315346,-0.712448]	~[0.559526,-0.240096,-0.264243,-0.747971]	~[0.623600,-0.232062,-0.738959,-0.105880]	~[-0.405117,-0.509833,0.409104,-0.639206]	~[0.751376,-0.183793,-0.599479,-0.205619]	~[-0.193663,-0.722227,0.029504,-0.663334]	~[0.709958,0.337022,-0.517978,0.337750]	~[-0.190976,-0.685863,0.381396,-0.589624]
15.6157334	~[0.710645,0.170328,-0.678682,-0.073227]	~[-0.144696,-0.679535,0.078826,-0.714900]	~[0.368501,-0.319981,-0.212326,-0.846603]	~[0.634132,-0.060887,-0.721199,-0.272106]	~[0.418916,-0.389590,-0.048034,-0.818793]	~[-0.323368,-0.226666,-0.520061,-0.757358]	~[0.686389,-0.299463,-0.644410,-0.154684]	~[-0.013047,-0.626701,0.315562,-0.712388]	~[0.559574,-0.240122,-0.264180,-0.747949]	~[0.623552,-0.232090,-0.738958,-0.106104]	~[-0.405006,-0.509893,0.408987,-0.639303]	~[0.751420,-0.183980,-0.599357,-0.205648]	~[-0.193589,-0.722298,0.029506,-0.663278]	~[0.710005,0.336966,-0.517890,0.337841]	~[-0.190827,-0.685936,0.381311,-0.589643]
15.6195976	~[0.710774,0.170445,-0.678533,-0.073084]	~[-0.144614,-0.679581,0.078759,-0.714880]	~[0.368456,-0.320060,-0.212299,-0.846600]	~[0.634238,-0.060813,-0.721169,-0.271955]	~[0.418925,-0.389585,-0.047974,-0.818794]	~[-0.323196,-0.226652,-0.520161,-0.757367]	~[0.686404,-0.299375,-0.644437,-0.154679]	~[-0.012739,-0.626816,0.315202,-0.712451]	~[0.559567,-0.240139,-0.264158,-0.747956]	~[0.623487,-0.232145,-0.738982,-0.106199]	~[-0.404705,-0.510161,0.408672,-0.639482]	~[0.751323,-0.184287,-0.599327,-0.205813]	~[-0.193556,-0.722288,0.029525,-0.663299]	~[0.710118,0.336872,-0.517793,0.337847]	~[-0.190627,-0.686007,0.381248,-0.589666]
15.6234303	~[0.711007,0.170642,-0.678233,-0.073144]	~[-0.144544,-0.679555,0.078674,-0.714929]	~[0.368425,-0.320124,-0.212213,-0.846610]	~[0.634339,-0.060772,-0.721070,-0.271988]	~[0.418920,-0.389591,-0.047929,-0.818796]	~[-0.323131,-0.226690,-0.520286,-0.757298]	~[0.686423,-0.299273,-0.644466,-0.154668]	~[-0.013091,-0.626650,0.315652,-0.712391]	~[0.559516,-0.240138,-0.264195,-0.747982]	~[0.623463,-0.232196,-0.738968,-0.106329]	~[-0.404627,-0.510266,0.408808,-0.639361]	~[0.751336,-0.184412,-0.599227,-0.205944]	~[-0.193528,-0.722284,0.029478,-0.663313]	~[0.710032,0.336920,-0.517866,0.337868]	~[-0.190463,-0.686085,0.381172,-0.589677]
15.62732	~[0.711069,0.170754,-0.678123,-0.073305]	~[-0.144480,-0.679597,0.078533,-0.714917]	~[0.368433,-0.320184,-0.212220,-0.846582]	~[0.634380,-0.060787,-0.720973,-0.272148]	~[0.418948,-0.389598,-0.047871,-0.818782]	~[-0.323179,-0.226732,-0.520273,-0.757274]	~[0.686430,-0.299215,-0.644488,-0.154661]	~[-0.013287,-0.626586,0.315912,-0.712330]	~[0.559513,-0.240081,-0.264208,-0.747998]	~[0.623473,-0.232239,-0.738920,-0.106507]	~[-0.404908,-0.509971,0.408948,-0.639328]	~[0.751375,-0.184375,-0.599169,-0.206005]	~[-0.193304,-0.722365,0.029363,-0.663295]	~[0.709942,0.337000,-0.517983,0.337796]	~[-0.190301,-0.686123,0.381091,-0.589737]
